fid,samp,mass,vv,tlh,tdh,trh,path,t2,tmax,gear,replicate,mod,hi,NJ,may,jun,july,aug,year,time
203,34,0.00001,NA,NA,NA,NA,0,0,0,1,2,0,1,0,1,0,0,0,0,1
204,34,0.000001,NA,NA,NA,NA,0,0,0,1,2,0,1,0,1,0,0,0,0,1
205,35,0.1,0,2,0,0,0,0,0,1,3,0,1,0,1,0,0,0,0,1
206,35,0.01,0,1,0,0,0,0,0,1,3,0,1,0,1,0,0,0,0,1
207,35,0.001,0,0,0,0,0,0,0,1,3,0,1,0,1,0,0,0,0,1
208,35,0.0001,NA,NA,NA,NA,0,0,0,1,3,0,1,0,1,0,0,0,0,1
209,35,0.00001,NA,NA,NA,NA,0,0,0,1,3,0,1,0,1,0,0,0,0,1
210,35,0.000001,NA,NA,NA,NA,0,0,0,1,3,0,1,0,1,0,0,0,0,1
211,36,0.1,0,2,0,0,0,0,0,1,4,0,1,0,1,0,0,0,0,1
212,36,0.01,0,0,0,0,0,0,0,1,4,0,1,0,1,0,0,0,0,1
213,36,0.001,0,0,0,0,0,0,0,1,4,0,1,0,1,0,0,0,0,1
214,36,0.0001,NA,NA,NA,NA,0,0,0,1,4,0,1,0,1,0,0,0,0,1
215,36,0.00001,NA,NA,NA,NA,0,0,0,1,4,0,1,0,1,0,0,0,0,1
216,36,0.000001,NA,NA,NA,NA,0,0,0,1,4,0,1,0,1,0,0,0,0,1
217,37,0.1,0,3,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,1
218,37,0.01,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
219,37,0.001,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
220,37,0.0001,NA,NA,NA,NA,0,0,0,0,1,0,1,0,1,0,0,0,0,1
221,37,0.00001,NA,NA,NA,NA,0,0,0,0,1,0,1,0,1,0,0,0,0,1
222,37,0.000001,NA,NA,NA,NA,0,0,0,0,1,0,1,0,1,0,0,0,0,1
223,38,0.1,0,3,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,1
224,38,0.01,0,3,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,1
225,38,0.001,0,2,1,0,1,0,0,0,2,0,1,0,1,0,0,0,0,1
226,38,0.0001,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,1
227,38,0.00001,NA,NA,NA,NA,0,0,0,0,2,0,1,0,1,0,0,0,0,1
228,38,0.000001,NA,NA,NA,NA,0,0,0,0,2,0,1,0,1,0,0,0,0,1
229,39,0.1,0,3,2,0,2,0,0,0,3,0,1,0,1,0,0,0,0,1
230,39,0.01,0,3,0,0,0,0,0,0,3,0,1,0,1,0,0,0,0,1
231,39,0.001,0,1,0,0,0,0,0,0,3,0,1,0,1,0,0,0,0,1
232,39,0.0001,NA,NA,NA,NA,0,0,0,0,3,0,1,0,1,0,0,0,0,1
233,39,0.00001,NA,NA,NA,NA,0,0,0,0,3,0,1,0,1,0,0,0,0,1
234,39,0.000001,NA,NA,NA,NA,0,0,0,0,3,0,1,0,1,0,0,0,0,1
235,40,0.1,0,3,3,0,3,0,0,0,4,0,1,0,1,0,0,0,0,1
236,40,0.01,0,3,1,1,1,0,0,0,4,0,1,0,1,0,0,0,0,1
237,40,0.001,0,3,1,0,1,0,0,0,4,0,1,0,1,0,0,0,0,1
238,40,0.0001,0,0,0,0,0,0,0,0,4,0,1,0,1,0,0,0,0,1
239,40,0.00001,NA,NA,NA,NA,0,0,0,0,4,0,1,0,1,0,0,0,0,1
240,40,0.000001,NA,NA,NA,NA,0,0,0,0,4,0,1,0,1,0,0,0,0,1
241,41,0.1,0,3,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1
242,41,0.01,0,2,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1
243,41,0.001,0,1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1
244,41,0.0001,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1
245,41,0.00001,NA,NA,NA,NA,0,1,0,1,1,0,1,0,1,0,0,0,0,1
246,41,0.000001,NA,NA,NA,NA,0,1,0,1,1,0,1,0,1,0,0,0,0,1
247,42,0.1,0,3,0,1,1,1,0,1,2,0,1,0,1,0,0,0,0,1
248,42,0.01,0,0,0,0,0,1,0,1,2,0,1,0,1,0,0,0,0,1
249,42,0.001,0,0,0,0,0,1,0,1,2,0,1,0,1,0,0,0,0,1
250,42,0.0001,NA,NA,NA,NA,0,1,0,1,2,0,1,0,1,0,0,0,0,1
251,42,0.00001,NA,NA,NA,NA,0,1,0,1,2,0,1,0,1,0,0,0,0,1
252,42,0.000001,NA,NA,NA,NA,0,1,0,1,2,0,1,0,1,0,0,0,0,1
253,43,0.1,0,2,0,0,0,1,0,1,3,0,1,0,1,0,0,0,0,1
254,43,0.01,0,1,0,0,0,1,0,1,3,0,1,0,1,0,0,0,0,1
255,43,0.001,0,0,0,0,0,1,0,1,3,0,1,0,1,0,0,0,0,1
256,43,0.0001,NA,NA,NA,NA,0,1,0,1,3,0,1,0,1,0,0,0,0,1
257,43,0.00001,NA,NA,NA,NA,0,1,0,1,3,0,1,0,1,0,0,0,0,1
258,43,0.000001,NA,NA,NA,NA,0,1,0,1,3,0,1,0,1,0,0,0,0,1
259,44,0.1,0,3,1,0,1,1,0,1,4,0,1,0,1,0,0,0,0,1
260,44,0.01,0,2,0,0,0,1,0,1,4,0,1,0,1,0,0,0,0,1
261,44,0.001,0,1,0,0,0,1,0,1,4,0,1,0,1,0,0,0,0,1
262,44,0.0001,0,1,0,0,0,1,0,1,4,0,1,0,1,0,0,0,0,1
263,44,0.00001,NA,NA,NA,NA,0,1,0,1,4,0,1,0,1,0,0,0,0,1
264,44,0.000001,NA,NA,NA,NA,0,1,0,1,4,0,1,0,1,0,0,0,0,1
265,45,0.1,0,3,0,1,1,1,0,0,1,0,1,0,1,0,0,0,0,1
266,45,0.01,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1
267,45,0.001,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1
268,45,0.0001,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1
269,45,0.00001,NA,NA,NA,NA,0,1,0,0,1,0,1,0,1,0,0,0,0,1
270,45,0.000001,NA,NA,NA,NA,0,1,0,0,1,0,1,0,1,0,0,0,0,1
271,46,0.1,0,3,0,0,0,1,0,0,2,0,1,0,1,0,0,0,0,1
272,46,0.01,0,3,1,0,1,1,0,0,2,0,1,0,1,0,0,0,0,1
273,46,0.001,0,2,0,0,0,1,0,0,2,0,1,0,1,0,0,0,0,1
274,46,0.0001,0,0,0,0,0,1,0,0,2,0,1,0,1,0,0,0,0,1
275,46,0.00001,NA,NA,NA,NA,0,1,0,0,2,0,1,0,1,0,0,0,0,1
276,46,0.000001,NA,NA,NA,NA,0,1,0,0,2,0,1,0,1,0,0,0,0,1
277,47,0.1,0,3,1,0,1,1,0,0,3,0,1,0,1,0,0,0,0,1
278,47,0.01,0,0,0,0,0,1,0,0,3,0,1,0,1,0,0,0,0,1
279,47,0.001,0,0,0,0,0,1,0,0,3,0,1,0,1,0,0,0,0,1
280,47,0.0001,0,0,0,0,0,1,0,0,3,0,1,0,1,0,0,0,0,1
281,47,0.00001,NA,NA,NA,NA,0,1,0,0,3,0,1,0,1,0,0,0,0,1
282,47,0.000001,NA,NA,NA,NA,0,1,0,0,3,0,1,0,1,0,0,0,0,1
283,48,0.1,0,3,1,0,1,1,0,0,4,0,1,0,1,0,0,0,0,1
284,48,0.01,0,0,0,0,0,1,0,0,4,0,1,0,1,0,0,0,0,1
285,48,0.001,0,0,0,0,0,1,0,0,4,0,1,0,1,0,0,0,0,1
286,48,0.0001,0,0,0,0,0,1,0,0,4,0,1,0,1,0,0,0,0,1
287,48,0.00001,NA,NA,NA,NA,0,1,0,0,4,0,1,0,1,0,0,0,0,1
288,48,0.000001,NA,NA,NA,NA,0,1,0,0,4,0,1,0,1,0,0,0,0,1
289,49,0.1,3,3,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,2
290,49,0.01,3,3,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,2
291,49,0.001,3,3,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,2
292,49,0.0001,3,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,2
293,49,0.00001,2,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,2
294,49,0.000001,NA,NA,NA,NA,0,0,0,1,1,0,0,0,0,1,0,0,0,2
295,50,0.1,3,3,1,0,1,0,0,1,2,0,0,0,0,1,0,0,0,2
296,50,0.01,3,3,0,1,1,0,0,1,2,0,0,0,0,1,0,0,0,2
297,50,0.001,3,2,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,2
298,50,0.0001,3,2,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,2
299,50,0.00001,1,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,2
300,50,0.000001,1,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,2
301,51,0.1,3,3,3,2,3,0,0,1,3,0,0,0,0,1,0,0,0,2
302,51,0.01,3,3,2,0,2,0,0,1,3,0,0,0,0,1,0,0,0,2
303,51,0.001,3,3,0,0,0,0,0,1,3,0,0,0,0,1,0,0,0,2
304,51,0.0001,3,3,0,0,0,0,0,1,3,0,0,0,0,1,0,0,0,2
