fid,new.fid,month,year,site,water,new.water,mass,turb,vvha,pilf,tlh,tdh,trh,path,temp,sal,stan.temp,old.water.id,new.water.id,water.vvha,water.plif,log.vvha,log.pilf,stan.vvha,stan.pilf,,,,,,,
46,10,7,2012,3,12,3,1.0E-05,2,1,0,0,0,0,0,29,23,1.312974064,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
46,10,7,2012,3,12,3,1.0E-06,0,0,0,0,0,0,0,29,23,1.312974064,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
46,10,7,2012,3,12,3,1.0E-07,0,0,0,0,0,0,0,29,23,1.312974064,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
47,11,7,2012,3,12,3,1.0E-01,3,3,3,3,1,1,1,29,23,1.312974064,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
47,11,7,2012,3,12,3,1.0E-02,3,3,3,3,0,0,0,29,23,1.312974064,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
47,11,7,2012,3,12,3,1.0E-03,3,3,1,3,0,0,0,29,23,1.312974064,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
47,11,7,2012,3,12,3,1.0E-04,3,0,0,1,0,0,0,29,23,1.312974064,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
47,11,7,2012,3,12,3,1.0E-05,0,0,0,0,0,0,0,29,23,1.312974064,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
47,11,7,2012,3,12,3,1.0E-06,0,0,0,0,0,0,0,29,23,1.312974064,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
47,11,7,2012,3,12,3,1.0E-07,0,0,0,0,0,0,0,29,23,1.312974064,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
48,12,7,2012,3,12,3,1.0E-01,3,3,3,3,0,0,0,29,23,1.312974064,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
48,12,7,2012,3,12,3,1.0E-02,3,3,3,3,0,1,1,29,23,1.312974064,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
48,12,7,2012,3,12,3,1.0E-03,3,3,2,3,0,0,0,29,23,1.312974064,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
48,12,7,2012,3,12,3,1.0E-04,3,1,0,2,0,0,0,29,23,1.312974064,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
48,12,7,2012,3,12,3,1.0E-05,2,2,0,0,0,0,0,29,23,1.312974064,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
48,12,7,2012,3,12,3,1.0E-06,2,0,0,1,0,0,0,29,23,1.312974064,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
48,12,7,2012,3,12,3,1.0E-07,1,1,1,0,0,0,0,29,23,1.312974064,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
61,13,9,2012,1,16,4,1.0E-01,3,3,3,3,0,0,0,26,14,0.768765094,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
61,13,9,2012,1,16,4,1.0E-02,3,3,3,3,0,0,0,26,14,0.768765094,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
61,13,9,2012,1,16,4,1.0E-03,3,3,3,3,0,0,0,26,14,0.768765094,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
61,13,9,2012,1,16,4,1.0E-04,3,3,1,1,0,0,0,26,14,0.768765094,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
61,13,9,2012,1,16,4,1.0E-05,1,1,0,0,0,0,0,26,14,0.768765094,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
61,13,9,2012,1,16,4,1.0E-06,0,0,0,0,0,0,0,26,14,0.768765094,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
61,13,9,2012,1,16,4,1.0E-07,0,0,0,0,0,0,0,26,14,0.768765094,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
62,14,9,2012,1,16,4,1.0E-01,3,3,3,3,0,0,0,26,14,0.768765094,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
62,14,9,2012,1,16,4,1.0E-02,3,3,3,3,0,0,0,26,14,0.768765094,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
62,14,9,2012,1,16,4,1.0E-03,3,3,3,3,0,0,0,26,14,0.768765094,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
62,14,9,2012,1,16,4,1.0E-04,3,2,1,1,0,0,0,26,14,0.768765094,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
62,14,9,2012,1,16,4,1.0E-05,0,0,0,0,0,0,0,26,14,0.768765094,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
62,14,9,2012,1,16,4,1.0E-06,0,0,0,0,0,0,0,26,14,0.768765094,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
62,14,9,2012,1,16,4,1.0E-07,0,0,0,0,0,0,0,26,14,0.768765094,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
63,15,9,2012,1,16,4,1.0E-01,3,3,3,3,0,1,1,26,14,0.768765094,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
63,15,9,2012,1,16,4,1.0E-02,3,3,3,3,0,0,0,26,14,0.768765094,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
63,15,9,2012,1,16,4,1.0E-03,3,3,3,3,0,0,0,26,14,0.768765094,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
63,15,9,2012,1,16,4,1.0E-04,3,2,1,2,0,0,0,26,14,0.768765094,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
63,15,9,2012,1,16,4,1.0E-05,0,0,0,0,0,0,0,26,14,0.768765094,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
63,15,9,2012,1,16,4,1.0E-06,0,0,0,0,0,0,0,26,14,0.768765094,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
63,15,9,2012,1,16,4,1.0E-07,0,0,0,0,0,0,0,26,14,0.768765094,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
64,16,9,2012,1,16,4,1.0E-01,3,3,3,3,1,0,1,26,14,0.768765094,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
64,16,9,2012,1,16,4,1.0E-02,3,3,3,3,0,0,0,26,14,0.768765094,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
64,16,9,2012,1,16,4,1.0E-03,3,3,3,3,0,0,0,26,14,0.768765094,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
64,16,9,2012,1,16,4,1.0E-04,3,3,1,1,0,0,0,26,14,0.768765094,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
64,16,9,2012,1,16,4,1.0E-05,2,1,0,0,0,0,0,26,14,0.768765094,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
64,16,9,2012,1,16,4,1.0E-06,0,0,0,0,0,0,0,26,14,0.768765094,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
64,16,9,2012,1,16,4,1.0E-07,0,0,0,0,0,0,0,26,14,0.768765094,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
65,17,9,2012,2,17,5,1.0E-01,3,3,3,3,0,0,0,25,22,0.587362104,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
65,17,9,2012,2,17,5,1.0E-02,3,3,3,3,0,0,0,25,22,0.587362104,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
65,17,9,2012,2,17,5,1.0E-03,3,3,3,1,0,0,0,25,22,0.587362104,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
65,17,9,2012,2,17,5,1.0E-04,3,0,0,0,0,0,0,25,22,0.587362104,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
65,17,9,2012,2,17,5,1.0E-05,1,0,0,1,0,0,0,25,22,0.587362104,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
65,17,9,2012,2,17,5,1.0E-06,0,0,0,0,0,0,0,25,22,0.587362104,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
65,17,9,2012,2,17,5,1.0E-07,0,0,0,0,0,0,0,25,22,0.587362104,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
66,18,9,2012,2,17,5,1.0E-01,3,3,3,3,0,0,0,25,22,0.587362104,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
66,18,9,2012,2,17,5,1.0E-02,3,3,3,3,0,0,0,25,22,0.587362104,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
66,18,9,2012,2,17,5,1.0E-03,3,3,2,1,0,0,0,25,22,0.587362104,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
66,18,9,2012,2,17,5,1.0E-04,1,0,0,0,0,0,0,25,22,0.587362104,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
66,18,9,2012,2,17,5,1.0E-05,0,0,0,0,0,0,0,25,22,0.587362104,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
66,18,9,2012,2,17,5,1.0E-06,0,0,0,0,0,0,0,25,22,0.587362104,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
66,18,9,2012,2,17,5,1.0E-07,0,0,0,0,0,0,0,25,22,0.587362104,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
67,19,9,2012,2,17,5,1.0E-01,3,3,3,3,1,0,1,25,22,0.587362104,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
67,19,9,2012,2,17,5,1.0E-02,3,3,3,3,0,0,0,25,22,0.587362104,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
67,19,9,2012,2,17,5,1.0E-03,3,0,0,2,0,0,0,25,22,0.587362104,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
67,19,9,2012,2,17,5,1.0E-04,3,0,0,0,0,0,0,25,22,0.587362104,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
67,19,9,2012,2,17,5,1.0E-05,0,0,0,0,0,0,0,25,22,0.587362104,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
67,19,9,2012,2,17,5,1.0E-06,0,0,0,0,0,0,0,25,22,0.587362104,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
67,19,9,2012,2,17,5,1.0E-07,0,0,0,0,0,0,0,25,22,0.587362104,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
