fid,month,year,site,water,mass,turb,vvha,pilf,tlh,tdh,trh,path,temp,sal,water.vvha,vvha.pre,water.plif,pilf.pre,water.tlh,tlh.pre,water.path,path.pre
10,4,2012,3,3,1.0E-05,0,0,NA,0,0,0,0,15,17,0.531678995,10.14239929,0.528437124,9.826947455,1.005125828,3.454899739,0.304105996,177.7777778
10,4,2012,3,3,1.0E-06,0,0,NA,0,0,0,0,15,17,0.309453692,129.1322314,0.307068938,216.2629758,0.619459183,7.344246884,0.312630782,434.0277778
10,4,2012,3,3,1.0E-07,0,0,NA,0,0,0,0,15,17,0.307564483,187.6524676,0.305759183,62.000124,6.724387046,0.121067193,0.313488842,865.0519031
11,4,2012,3,3,1.0E-01,3,0,NA,0,0,0,0,15,17,0.312791677,244.140625,0.304693604,129.1322314,0.616292892,7.035861788,0.305620582,1040.582726
11,4,2012,3,3,1.0E-02,3,0,NA,0,0,0,0,15,17,NA,NA,NA,NA,NA,NA,NA,NA
11,4,2012,3,3,1.0E-03,3,0,NA,0,0,0,0,15,17,NA,NA,NA,NA,NA,NA,NA,NA
11,4,2012,3,3,1.0E-04,1,0,NA,0,0,0,0,15,17,NA,NA,NA,NA,NA,NA,NA,NA
11,4,2012,3,3,1.0E-05,0,0,NA,0,0,0,0,15,17,NA,NA,NA,NA,NA,NA,NA,NA
11,4,2012,3,3,1.0E-06,0,0,NA,0,0,0,0,15,17,NA,NA,NA,NA,NA,NA,NA,NA
11,4,2012,3,3,1.0E-07,0,0,NA,0,0,0,0,15,17,NA,NA,NA,NA,NA,NA,NA,NA
12,4,2012,3,3,1.0E-01,3,0,NA,3,0,1,1,15,17,NA,NA,NA,NA,NA,NA,NA,NA
12,4,2012,3,3,1.0E-02,3,0,NA,1,0,0,0,15,17,NA,NA,NA,NA,NA,NA,NA,NA
12,4,2012,3,3,1.0E-03,2,0,NA,0,0,0,0,15,17,NA,NA,NA,NA,NA,NA,NA,NA
12,4,2012,3,3,1.0E-04,1,0,NA,0,0,0,0,15,17,NA,NA,NA,NA,NA,NA,NA,NA
12,4,2012,3,3,1.0E-05,0,0,NA,0,0,0,0,15,17,NA,NA,NA,NA,NA,NA,NA,NA
12,4,2012,3,3,1.0E-06,0,0,NA,0,0,0,0,15,17,NA,NA,NA,NA,NA,NA,NA,NA
12,4,2012,3,3,1.0E-07,0,0,NA,0,0,0,0,15,17,NA,NA,NA,NA,NA,NA,NA,NA
13,5,2012,1,4,1.0E-01,3,3,NA,3,0,0,0,22,14,NA,NA,NA,NA,NA,NA,NA,NA
13,5,2012,1,4,1.0E-02,3,3,NA,3,0,0,0,22,14,NA,NA,NA,NA,NA,NA,NA,NA
13,5,2012,1,4,1.0E-03,3,2,NA,3,0,0,0,22,14,NA,NA,NA,NA,NA,NA,NA,NA
13,5,2012,1,4,1.0E-04,3,3,NA,3,0,0,0,22,14,NA,NA,NA,NA,NA,NA,NA,NA
13,5,2012,1,4,1.0E-05,3,1,NA,0,0,0,0,22,14,NA,NA,NA,NA,NA,NA,NA,NA
13,5,2012,1,4,1.0E-06,0,0,NA,0,0,0,0,22,14,NA,NA,NA,NA,NA,NA,NA,NA
13,5,2012,1,4,1.0E-07,0,0,NA,0,0,0,0,22,14,NA,NA,NA,NA,NA,NA,NA,NA
14,5,2012,1,4,1.0E-01,3,3,NA,3,0,0,0,22,14,NA,NA,NA,NA,NA,NA,NA,NA
14,5,2012,1,4,1.0E-02,3,3,NA,3,0,0,0,22,14,NA,NA,NA,NA,NA,NA,NA,NA
14,5,2012,1,4,1.0E-03,3,3,NA,0,0,0,0,22,14,NA,NA,NA,NA,NA,NA,NA,NA
14,5,2012,1,4,1.0E-04,2,0,NA,0,0,0,0,22,14,NA,NA,NA,NA,NA,NA,NA,NA
14,5,2012,1,4,1.0E-05,0,0,NA,0,0,0,0,22,14,NA,NA,NA,NA,NA,NA,NA,NA
14,5,2012,1,4,1.0E-06,0,0,NA,0,0,0,0,22,14,NA,NA,NA,NA,NA,NA,NA,NA
14,5,2012,1,4,1.0E-07,0,0,NA,0,0,0,0,22,14,NA,NA,NA,NA,NA,NA,NA,NA
15,5,2012,1,4,1.0E-01,3,3,NA,3,0,0,0,22,14,NA,NA,NA,NA,NA,NA,NA,NA
15,5,2012,1,4,1.0E-02,3,3,NA,2,0,0,0,22,14,NA,NA,NA,NA,NA,NA,NA,NA
15,5,2012,1,4,1.0E-03,3,3,NA,0,0,0,0,22,14,NA,NA,NA,NA,NA,NA,NA,NA
15,5,2012,1,4,1.0E-04,1,0,NA,0,0,0,0,22,14,NA,NA,NA,NA,NA,NA,NA,NA
15,5,2012,1,4,1.0E-05,0,0,NA,0,0,0,0,22,14,NA,NA,NA,NA,NA,NA,NA,NA
15,5,2012,1,4,1.0E-06,0,0,NA,0,0,0,0,22,14,NA,NA,NA,NA,NA,NA,NA,NA
15,5,2012,1,4,1.0E-07,0,0,NA,0,0,0,0,22,14,NA,NA,NA,NA,NA,NA,NA,NA
16,5,2012,1,4,1.0E-01,3,3,NA,3,1,3,3,22,14,NA,NA,NA,NA,NA,NA,NA,NA
16,5,2012,1,4,1.0E-02,3,3,NA,3,0,2,2,22,14,NA,NA,NA,NA,NA,NA,NA,NA
16,5,2012,1,4,1.0E-03,3,3,NA,3,0,0,0,22,14,NA,NA,NA,NA,NA,NA,NA,NA
16,5,2012,1,4,1.0E-04,3,3,NA,1,0,0,0,22,14,NA,NA,NA,NA,NA,NA,NA,NA
16,5,2012,1,4,1.0E-05,2,2,NA,0,0,0,0,22,14,NA,NA,NA,NA,NA,NA,NA,NA
16,5,2012,1,4,1.0E-06,0,0,NA,0,0,0,0,22,14,NA,NA,NA,NA,NA,NA,NA,NA
16,5,2012,1,4,1.0E-07,0,0,NA,0,0,0,0,22,14,NA,NA,NA,NA,NA,NA,NA,NA
17,5,2012,2,5,1.0E-01,3,3,NA,3,0,0,0,20,21,NA,NA,NA,NA,NA,NA,NA,NA
17,5,2012,2,5,1.0E-02,3,1,NA,2,0,0,0,20,21,NA,NA,NA,NA,NA,NA,NA,NA
17,5,2012,2,5,1.0E-03,2,0,NA,0,0,0,0,20,21,NA,NA,NA,NA,NA,NA,NA,NA
17,5,2012,2,5,1.0E-04,0,0,NA,0,0,0,0,20,21,NA,NA,NA,NA,NA,NA,NA,NA
17,5,2012,2,5,1.0E-05,0,0,NA,0,0,0,0,20,21,NA,NA,NA,NA,NA,NA,NA,NA
17,5,2012,2,5,1.0E-06,0,0,NA,0,0,0,0,20,21,NA,NA,NA,NA,NA,NA,NA,NA
17,5,2012,2,5,1.0E-07,0,0,NA,0,0,0,0,20,21,NA,NA,NA,NA,NA,NA,NA,NA
18,5,2012,2,5,1.0E-01,3,3,NA,3,3,2,3,20,21,NA,NA,NA,NA,NA,NA,NA,NA
