fid,month,year,site,water,mass,turb,vvha,pilf,tlh,tdh,trh,path,temp,sal,water.vvha,water.plif,water.tlh,water.path
17,9,2012,2,5,1.00E-03,3,3,3,1,0,0,0,25,22,NA,NA,NA,NA
17,9,2012,2,5,1.00E-04,3,0,0,0,0,0,0,25,22,NA,NA,NA,NA
17,9,2012,2,5,1.00E-05,1,0,0,1,0,0,0,25,22,NA,NA,NA,NA
17,9,2012,2,5,1.00E-06,0,0,0,0,0,0,0,25,22,NA,NA,NA,NA
17,9,2012,2,5,1.00E-07,0,0,0,0,0,0,0,25,22,NA,NA,NA,NA
18,9,2012,2,5,1.00E-01,3,3,3,3,0,0,0,25,22,NA,NA,NA,NA
18,9,2012,2,5,1.00E-02,3,3,3,3,0,0,0,25,22,NA,NA,NA,NA
18,9,2012,2,5,1.00E-03,3,3,2,1,0,0,0,25,22,NA,NA,NA,NA
18,9,2012,2,5,1.00E-04,1,0,0,0,0,0,0,25,22,NA,NA,NA,NA
18,9,2012,2,5,1.00E-05,0,0,0,0,0,0,0,25,22,NA,NA,NA,NA
18,9,2012,2,5,1.00E-06,0,0,0,0,0,0,0,25,22,NA,NA,NA,NA
18,9,2012,2,5,1.00E-07,0,0,0,0,0,0,0,25,22,NA,NA,NA,NA
19,9,2012,2,5,1.00E-01,3,3,3,3,1,0,1,25,22,NA,NA,NA,NA
19,9,2012,2,5,1.00E-02,3,3,3,3,0,0,0,25,22,NA,NA,NA,NA
19,9,2012,2,5,1.00E-03,3,0,0,2,0,0,0,25,22,NA,NA,NA,NA
19,9,2012,2,5,1.00E-04,3,0,0,0,0,0,0,25,22,NA,NA,NA,NA
19,9,2012,2,5,1.00E-05,0,0,0,0,0,0,0,25,22,NA,NA,NA,NA
19,9,2012,2,5,1.00E-06,0,0,0,0,0,0,0,25,22,NA,NA,NA,NA
19,9,2012,2,5,1.00E-07,0,0,0,0,0,0,0,25,22,NA,NA,NA,NA
20,9,2012,2,5,1.00E-01,3,3,3,3,0,1,1,25,22,NA,NA,NA,NA
20,9,2012,2,5,1.00E-02,3,3,3,3,0,0,0,25,22,NA,NA,NA,NA
20,9,2012,2,5,1.00E-03,3,2,1,1,0,0,0,25,22,NA,NA,NA,NA
20,9,2012,2,5,1.00E-04,2,0,0,0,0,0,0,25,22,NA,NA,NA,NA
20,9,2012,2,5,1.00E-05,0,0,0,0,0,0,0,25,22,NA,NA,NA,NA
20,9,2012,2,5,1.00E-06,0,0,0,0,0,0,0,25,22,NA,NA,NA,NA
20,9,2012,2,5,1.00E-07,0,0,0,0,0,0,0,25,22,NA,NA,NA,NA
21,9,2012,3,6,1.00E-01,3,3,3,3,0,0,0,24,20,NA,NA,NA,NA
21,9,2012,3,6,1.00E-02,3,3,1,3,0,0,0,24,20,NA,NA,NA,NA
21,9,2012,3,6,1.00E-03,3,2,2,0,0,0,0,24,20,NA,NA,NA,NA
21,9,2012,3,6,1.00E-04,3,0,0,0,0,0,0,24,20,NA,NA,NA,NA
21,9,2012,3,6,1.00E-05,0,0,0,0,0,0,0,24,20,NA,NA,NA,NA
21,9,2012,3,6,1.00E-06,0,0,0,0,0,0,0,24,20,NA,NA,NA,NA
21,9,2012,3,6,1.00E-07,0,0,0,0,0,0,0,24,20,NA,NA,NA,NA
22,9,2012,3,6,1.00E-01,3,3,2,3,0,0,0,24,20,NA,NA,NA,NA
22,9,2012,3,6,1.00E-02,3,3,1,3,0,0,0,24,20,NA,NA,NA,NA
22,9,2012,3,6,1.00E-03,3,1,0,0,0,0,0,24,20,NA,NA,NA,NA
22,9,2012,3,6,1.00E-04,0,0,0,0,0,0,0,24,20,NA,NA,NA,NA
22,9,2012,3,6,1.00E-05,0,0,0,0,0,0,0,24,20,NA,NA,NA,NA
22,9,2012,3,6,1.00E-06,0,0,0,0,0,0,0,24,20,NA,NA,NA,NA
22,9,2012,3,6,1.00E-07,0,0,0,0,0,0,0,24,20,NA,NA,NA,NA
23,9,2012,3,6,1.00E-01,3,3,3,3,2,0,2,24,20,NA,NA,NA,NA
23,9,2012,3,6,1.00E-02,3,3,1,3,0,0,0,24,20,NA,NA,NA,NA
23,9,2012,3,6,1.00E-03,3,0,0,1,0,0,0,24,20,NA,NA,NA,NA
23,9,2012,3,6,1.00E-04,2,0,0,1,0,0,0,24,20,NA,NA,NA,NA
23,9,2012,3,6,1.00E-05,0,0,0,0,0,0,0,24,20,NA,NA,NA,NA
23,9,2012,3,6,1.00E-06,0,0,0,0,0,0,0,24,20,NA,NA,NA,NA
23,9,2012,3,6,1.00E-07,0,0,0,0,0,0,0,24,20,NA,NA,NA,NA
24,9,2012,3,6,1.00E-01,3,3,1,3,0,0,0,24,20,NA,NA,NA,NA
24,9,2012,3,6,1.00E-02,3,2,0,3,0,0,0,24,20,NA,NA,NA,NA
24,9,2012,3,6,1.00E-03,3,1,0,1,0,0,0,24,20,NA,NA,NA,NA
24,9,2012,3,6,1.00E-04,3,0,0,0,0,0,0,24,20,NA,NA,NA,NA
24,9,2012,3,6,1.00E-05,0,0,0,0,0,0,0,24,20,NA,NA,NA,NA
24,9,2012,3,6,1.00E-06,0,0,0,0,0,0,0,24,20,NA,NA,NA,NA
24,9,2012,3,6,1.00E-07,0,0,0,0,0,0,0,24,20,NA,NA,NA,NA
25,10,2012,1,7,1.00E-01,3,3,3,3,1,1,1,18,15,NA,NA,NA,NA
25,10,2012,1,7,1.00E-02,3,3,3,3,0,0,0,18,15,NA,NA,NA,NA
25,10,2012,1,7,1.00E-03,3,3,3,3,0,0,0,18,15,NA,NA,NA,NA
25,10,2012,1,7,1.00E-04,3,3,1,2,0,0,0,18,15,NA,NA,NA,NA
25,10,2012,1,7,1.00E-05,1,0,0,1,0,0,0,18,15,NA,NA,NA,NA
25,10,2012,1,7,1.00E-06,0,0,0,0,0,0,0,18,15,NA,NA,NA,NA
